data\test\image\cxrimage_16932.png,data\test\mask\cxrmask_16932.jpeg
data\test\image\cxrimage_16933.png,data\test\mask\cxrmask_16933.jpeg
data\test\image\cxrimage_16934.png,data\test\mask\cxrmask_16934.jpeg
data\test\image\cxrimage_16935.png,data\test\mask\cxrmask_16935.jpeg
data\test\image\cxrimage_16936.png,data\test\mask\cxrmask_16936.jpeg
data\test\image\cxrimage_16937.png,data\test\mask\cxrmask_16937.jpeg
data\test\image\cxrimage_16938.png,data\test\mask\cxrmask_16938.jpeg
data\test\image\cxrimage_16939.png,data\test\mask\cxrmask_16939.jpeg
data\test\image\cxrimage_16940.png,data\test\mask\cxrmask_16940.jpeg
data\test\image\cxrimage_16941.png,data\test\mask\cxrmask_16941.jpeg
data\test\image\cxrimage_16942.png,data\test\mask\cxrmask_16942.jpeg
data\test\image\cxrimage_16943.png,data\test\mask\cxrmask_16943.jpeg
data\test\image\cxrimage_16944.png,data\test\mask\cxrmask_16944.jpeg
data\test\image\cxrimage_16945.png,data\test\mask\cxrmask_16945.jpeg
data\test\image\cxrimage_16946.png,data\test\mask\cxrmask_16946.jpeg
data\test\image\cxrimage_16947.png,data\test\mask\cxrmask_16947.jpeg
data\test\image\cxrimage_16948.png,data\test\mask\cxrmask_16948.jpeg
data\test\image\cxrimage_16949.png,data\test\mask\cxrmask_16949.jpeg
data\test\image\cxrimage_16950.png,data\test\mask\cxrmask_16950.jpeg
data\test\image\cxrimage_16951.png,data\test\mask\cxrmask_16951.jpeg
data\test\image\cxrimage_16952.png,data\test\mask\cxrmask_16952.jpeg
data\test\image\cxrimage_16953.png,data\test\mask\cxrmask_16953.jpeg
data\test\image\cxrimage_16954.png,data\test\mask\cxrmask_16954.jpeg
data\test\image\cxrimage_16955.png,data\test\mask\cxrmask_16955.jpeg
data\test\image\cxrimage_16956.png,data\test\mask\cxrmask_16956.jpeg
data\test\image\cxrimage_16957.png,data\test\mask\cxrmask_16957.jpeg
data\test\image\cxrimage_16958.png,data\test\mask\cxrmask_16958.jpeg
data\test\image\cxrimage_16959.png,data\test\mask\cxrmask_16959.jpeg
data\test\image\cxrimage_16960.png,data\test\mask\cxrmask_16960.jpeg
data\test\image\cxrimage_16961.png,data\test\mask\cxrmask_16961.jpeg
data\test\image\cxrimage_16962.png,data\test\mask\cxrmask_16962.jpeg
data\test\image\cxrimage_16963.png,data\test\mask\cxrmask_16963.jpeg
data\test\image\cxrimage_16964.png,data\test\mask\cxrmask_16964.jpeg
data\test\image\cxrimage_16965.png,data\test\mask\cxrmask_16965.jpeg
data\test\image\cxrimage_16966.png,data\test\mask\cxrmask_16966.jpeg
data\test\image\cxrimage_16967.png,data\test\mask\cxrmask_16967.jpeg
data\test\image\cxrimage_16968.png,data\test\mask\cxrmask_16968.jpeg
data\test\image\cxrimage_16969.png,data\test\mask\cxrmask_16969.jpeg
data\test\image\cxrimage_16970.png,data\test\mask\cxrmask_16970.jpeg
data\test\image\cxrimage_16971.png,data\test\mask\cxrmask_16971.jpeg
data\test\image\cxrimage_16972.png,data\test\mask\cxrmask_16972.jpeg
data\test\image\cxrimage_16973.png,data\test\mask\cxrmask_16973.jpeg
data\test\image\cxrimage_16974.png,data\test\mask\cxrmask_16974.jpeg
data\test\image\cxrimage_16975.png,data\test\mask\cxrmask_16975.jpeg
data\test\image\cxrimage_16976.png,data\test\mask\cxrmask_16976.jpeg
